Title,Link,year,abstract,authors,abstract_source,has_microgravity,has_radiation,has_bone,has_plant,abstract_word_count
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,2020,"After a 16-year hiatus, Russia has resumed its program of biomedical research in space, with the successful 30-day flight of the Bion-M 1 biosatellite (April 19–May 19, 2013). The principal species for biomedical research in this project was the ...",,pmc,False,False,False,False,40
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,2020,"Bone is a dynamically remodeled tissue that requires gravity-mediated mechanical stimulation for maintenance of mineral content and structure. Homeostasis in bone occurs through a balance in the activities and signaling of osteoclasts, osteoblasts, ...",,pmc,True,False,True,False,34
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,2020,"Microgravity, defined by minimal gravitational forces, represents a unique environment that profoundly influences biological systems, including human cells. This review examines the effects of microgravity on biological processes and their ...",,pmc,True,False,False,False,31
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,2020,"Therapeutic effects of adult stem-cell transplantations are limited by poor cell-retention in target organs, and a reduced potential for optimal cell differentiation compared to embryonic stem cells. However, contemporary studies have indicated ...",,pmc,True,False,False,False,33
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,2020,"The International Space Station (ISS) National Laboratory is dedicated to studying the effects of space on life and physical systems, and to developing new science and technologies for space exploration. A key aspect of achieving these goals is to ...",,pmc,True,False,False,False,40
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,2020,"Spaceflight causes cardiovascular changes due to microgravity-induced redistribution of body fluids and musculoskeletal unloading. Cardiac deconditioning and atrophy on Earth are associated with altered Trp53 and oxidative stress-related pathways, ...",,pmc,False,False,False,False,30
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,2020,"Space radiation may pose a risk to skeletal health during subsequent aging. Irradiation acutely stimulates bone remodeling in mice, although the long-term influence of space radiation on bone-forming potential (osteoblastogenesis) and possible ...",,pmc,False,True,True,False,33
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,2020,"NASA’s Space Biology and Human Research Program entities have recently spearheaded communications both internally and externally to coordinate the agency’s translational research efforts. In this paper, we strongly advocate for translational ...",,pmc,False,False,False,False,32
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,2020,"One potentially important bone quality characteristic is the response of bone to cyclic (repetitive) mechanical loading. In small animals, such as in rats and mice, cyclic loading experiments are particularly challenging to perform in a precise ...",,pmc,False,False,True,False,37
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,2020,"Bone can become brittle when exposed to ionizing radiation across a wide range of clinically relevant doses that span from radiotherapy (accumulative 50 Gy) to sterilization (~35,000 Gy). While irradiation-induced embrittlement has been attributed ...",,pmc,False,True,True,False,35
Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,2020,"The dystrophin glycoprotein complex (DGC) is located at the sarcolemma of muscle fibers, providing structural integrity. Mutations in and loss of DGC proteins cause a spectrum of muscular dystrophies. When only the sarcoglycan subcomplex is absent, ...",,pmc,False,False,True,False,37
AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,2020,"Rab GTPases are important regulators of endomembrane trafficking, regulating exocytosis, endocytosis and membrane recycling. Many Rab-like proteins exist in plants, but only a subset have been functionally characterized. Here we report that AtRabD2b ...",,pmc,False,False,False,False,34
TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,2020,"The Arabidopsis (Arabidopsis thaliana) soluble N-ethylmaleimide-sensitive factor attachment protein receptor SYP41 is involved in vesicle fusion at the trans-Golgi network (TGN) and interacts with AtVPS45, SYP61, and VTI12. These proteins are ...",,pmc,False,False,False,False,32
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,2020,"SNAREs play an important role in the process of membrane trafficking. In the present research, we investigated subcellular localization of an uncharacterized Arabidopsis thaliana protein reported to interact with a trans-Golgi network-localized ...",,pmc,False,False,False,False,33
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,2020,"The movement of plant roots within the soil is key to their ability to interact with the environment and maximize anchorage and nutrient acquisition. Directional growth of roots occurs by a combination of sensing external cues, hormonal signaling ...",,pmc,False,False,False,False,39
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,2020,"The trans-Golgi network (TGN) is a dynamic organelle that functions as a relay station for receiving endocytosed cargo, directing secretory cargo, and trafficking to the vacuole. TGN-localized SYP41-interacting protein (TNO1) is a large, ...",,pmc,False,False,False,False,34
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,2020,"The movement of plant roots within the soil is key to their ability to interact with the environment and maximize anchorage and nutrient acquisition. Directional growth of roots occurs by a combination of sensing external cues, hormonal signaling ...",,cache,False,False,False,False,39
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,2020,"Maintaining the proximity of centrosomes to nuclei is important in several cellular contexts, and LINC complexes formed by SUN and KASH proteins are crucial in this process. Here, we characterize the presumed Drosophila ortholog of the mammalian SUN ...",,pmc,False,False,False,False,39
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,2020,"Space travel presents unlimited opportunities for exploration and discovery, but requires better understanding of the biological consequences of long-term exposure to spaceflight. Immune function in particular is relevant for space travel. Human ...",,pmc,False,False,False,False,33
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,2020,[Abstract unavailable - Title]: Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,,fallback,False,False,False,False,20
GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,2020,"Space radiation has recently been considered a risk factor for astronauts’ cardiac health. As an example, for the case of how to query and identify datasets within NASA’s GeneLab database and demonstrate the database utility, we used an unbiased ...",,pmc,False,True,False,False,40
FAIRness and usability for open-access omics data systems.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,2020,"Omics data sharing is crucial to the biological research community, and the last decade or two has seen a huge rise in collaborative analysis systems, databases, and knowledge bases for omics and other systems biology data. We assessed the ...",,pmc,False,False,False,False,40
NASA GeneLab platform utilized for biological response to space radiation in animal models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,2020,Background: Ionizing radiation from galactic cosmic rays (GCR) is one of the major risk factors that will impact the health of astronauts on extended missions outside the protective effects of the Earth’s magnetic field. The NASA GeneLab project has ...,,pmc,False,True,False,False,40
